#DATOS PARA h=0.005
ro		Función		FunciónReal		Error
7.26    28.092    23.098    4.9945
7.265    28.042    23.048    4.9941
7.27    27.992    22.999    4.9936
7.275    27.942    22.949    4.9932
7.28    27.892    22.899    4.9926
7.285    27.842    22.85    4.9921
7.29    27.792    22.8    4.9915
7.295    27.742    22.751    4.9909
7.3    27.692    22.702    4.9902
7.305    27.642    22.652    4.9895
7.31    27.592    22.603    4.9888
7.315    27.541    22.554    4.988
7.32    27.491    22.504    4.9871
7.325    27.441    22.455    4.9863
7.33    27.391    22.406    4.9854
7.335    27.341    22.357    4.9844
7.34    27.291    22.307    4.9835
7.345    27.241    22.258    4.9824
7.35    27.191    22.209    4.9814
7.355    27.14    22.16    4.9803
7.36    27.09    22.111    4.9791
7.365    27.04    22.062    4.978
7.37    26.99    22.013    4.9768
7.375    26.94    21.964    4.9755
7.38    26.89    21.915    4.9742
7.385    26.839    21.867    4.9729
7.39    26.789    21.818    4.9715
7.395    26.739    21.769    4.9701
7.4    26.689    21.72    4.9687
7.405    26.639    21.671    4.9672
7.41    26.588    21.623    4.9657
7.415    26.538    21.574    4.9641
7.42    26.488    21.525    4.9625
7.425    26.438    21.477    4.9609
7.43    26.387    21.428    4.9592
7.435    26.337    21.38    4.9575
7.44    26.287    21.331    4.9557
7.445    26.237    21.283    4.954
7.45    26.187    21.234    4.9521
7.455    26.136    21.186    4.9503
7.46    26.086    21.138    4.9484
7.465    26.036    21.089    4.9464
7.47    25.985    21.041    4.9445
7.475    25.935    20.993    4.9424
7.48    25.885    20.944    4.9404
7.485    25.835    20.896    4.9383
7.49    25.784    20.848    4.9362
7.495    25.734    20.8    4.934
7.5    25.684    20.752    4.9318
7.505    25.633    20.704    4.9296
7.51    25.583    20.656    4.9273
7.515    25.533    20.608    4.925
7.52    25.482    20.56    4.9227
7.525    25.432    20.512    4.9203
7.53    25.382    20.464    4.9178
7.535    25.331    20.416    4.9154
7.54    25.281    20.368    4.9129
7.545    25.231    20.32    4.9104
7.55    25.18    20.273    4.9078
7.555    25.13    20.225    4.9052
7.56    25.08    20.177    4.9025
7.565    25.029    20.129    4.8999
7.57    24.979    20.082    4.8971
7.575    24.929    20.034    4.8944
7.58    24.878    19.987    4.8916
7.585    24.828    19.939    4.8888
7.59    24.777    19.891    4.8859
7.595    24.727    19.844    4.883
7.6    24.677    19.796    4.8801
7.605    24.626    19.749    4.8771
7.61    24.576    19.702    4.8741
7.615    24.525    19.654    4.8711
7.62    24.475    19.607    4.868
7.625    24.424    19.56    4.8649
7.63    24.374    19.512    4.8617
7.635    24.324    19.465    4.8585
7.64    24.273    19.418    4.8553
7.645    24.223    19.371    4.8521
7.65    24.172    19.323    4.8488
7.655    24.122    19.276    4.8454
7.66    24.071    19.229    4.8421
7.665    24.021    19.182    4.8387
7.67    23.97    19.135    4.8352
7.675    23.92    19.088    4.8318
7.68    23.869    19.041    4.8282
7.685    23.819    18.994    4.8247
7.69    23.768    18.947    4.8211
7.695    23.718    18.9    4.8175
7.7    23.667    18.853    4.8139
7.705    23.617    18.807    4.8102
7.71    23.566    18.76    4.8065
7.715    23.516    18.713    4.8027
7.72    23.465    18.666    4.7989
7.725    23.415    18.62    4.7951
7.73    23.364    18.573    4.7912
7.735    23.314    18.526    4.7873
7.74    23.263    18.48    4.7834
7.745    23.213    18.433    4.7794
7.75    23.162    18.387    4.7754
7.755    23.111    18.34    4.7714
7.76    23.061    18.294    4.7673
7.765    23.01    18.247    4.7632
7.77    22.96    18.201    4.7591
7.775    22.909    18.154    4.7549
7.78    22.859    18.108    4.7507
7.785    22.808    18.062    4.7464
7.79    22.757    18.015    4.7422
7.795    22.707    17.969    4.7379
7.8    22.656    17.923    4.7335
7.805    22.606    17.876    4.7291
7.81    22.555    17.83    4.7247
7.815    22.504    17.784    4.7203
7.82    22.454    17.738    4.7158
7.825    22.403    17.692    4.7113
7.83    22.352    17.646    4.7067
7.835    22.302    17.6    4.7021
7.84    22.251    17.554    4.6975
7.845    22.201    17.508    4.6928
7.85    22.15    17.462    4.6881
7.855    22.099    17.416    4.6834
7.86    22.049    17.37    4.6787
7.865    21.998    17.324    4.6739
7.87    21.947    17.278    4.669
7.875    21.897    17.232    4.6642
7.88    21.846    17.187    4.6593
7.885    21.795    17.141    4.6544
7.89    21.745    17.095    4.6494
7.895    21.694    17.049    4.6444
7.9    21.643    17.004    4.6394
7.905    21.592    16.958    4.6343
7.91    21.542    16.913    4.6292
7.915    21.491    16.867    4.6241
7.92    21.44    16.821    4.6189
7.925    21.39    16.776    4.6137
7.93    21.339    16.73    4.6085
7.935    21.288    16.685    4.6033
7.94    21.237    16.639    4.598
7.945    21.187    16.594    4.5926
7.95    21.136    16.549    4.5873
7.955    21.085    16.503    4.5819
7.96    21.034    16.458    4.5764
7.965    20.984    16.413    4.571
7.97    20.933    16.367    4.5655
7.975    20.882    16.322    4.56
7.98    20.831    16.277    4.5544
7.985    20.781    16.232    4.5488
7.99    20.73    16.187    4.5432
7.995    20.679    16.142    4.5375
8    20.628    16.096    4.5318
8.005    20.577    16.051    4.5261
8.01    20.527    16.006    4.5204
8.015    20.476    15.961    4.5146
8.02    20.425    15.916    4.5088
8.025    20.374    15.871    4.5029
8.03    20.323    15.826    4.497
8.035    20.273    15.782    4.4911
8.04    20.222    15.737    4.4851
8.045    20.171    15.692    4.4792
8.05    20.12    15.647    4.4731
8.055    20.069    15.602    4.4671
8.06    20.018    15.557    4.461
8.065    19.968    15.513    4.4549
8.07    19.917    15.468    4.4488
8.075    19.866    15.423    4.4426
8.08    19.815    15.379    4.4364
8.085    19.764    15.334    4.4301
8.09    19.713    15.289    4.4239
8.095    19.662    15.245    4.4176
8.1    19.612    15.2    4.4112
8.105    19.561    15.156    4.4048
8.11    19.51    15.111    4.3984
8.115    19.459    15.067    4.392
8.12    19.408    15.022    4.3855
8.125    19.357    14.978    4.3791
8.13    19.306    14.934    4.3725
8.135    19.255    14.889    4.366
8.14    19.204    14.845    4.3594
8.145    19.153    14.801    4.3527
8.15    19.102    14.756    4.3461
8.155    19.052    14.712    4.3394
8.16    19.001    14.668    4.3327
8.165    18.95    14.624    4.3259
8.17    18.899    14.58    4.3192
8.175    18.848    14.535    4.3124
8.18    18.797    14.491    4.3055
8.185    18.746    14.447    4.2986
8.19    18.695    14.403    4.2917
8.195    18.644    14.359    4.2848
8.2    18.593    14.315    4.2778
8.205    18.542    14.271    4.2708
8.21    18.491    14.227    4.2638
8.215    18.44    14.183    4.2567
8.22    18.389    14.139    4.2496
8.225    18.338    14.096    4.2425
8.23    18.287    14.052    4.2354
8.235    18.236    14.008    4.2282
8.24    18.185    13.964    4.221
8.245    18.134    13.92    4.2137
8.25    18.083    13.877    4.2064
8.255    18.032    13.833    4.1991
8.26    17.981    13.789    4.1918
8.265    17.93    13.746    4.1844
8.27    17.879    13.702    4.177
8.275    17.828    13.658    4.1696
8.28    17.777    13.615    4.1621
8.285    17.726    13.571    4.1546
8.29    17.675    13.528    4.1471
8.295    17.624    13.484    4.1396
8.3    17.573    13.441    4.132
8.305    17.522    13.397    4.1244
8.31    17.471    13.354    4.1167
8.315    17.42    13.311    4.109
8.32    17.369    13.267    4.1013
8.325    17.317    13.224    4.0936
8.33    17.266    13.181    4.0858
8.335    17.215    13.137    4.078
8.34    17.164    13.094    4.0702
8.345    17.113    13.051    4.0624
8.35    17.062    13.008    4.0545
8.355    17.011    12.964    4.0466
8.36    16.96    12.921    4.0386
8.365    16.909    12.878    4.0306
8.37    16.858    12.835    4.0226
8.375    16.807    12.792    4.0146
8.38    16.755    12.749    4.0065
8.385    16.704    12.706    3.9984
8.39    16.653    12.663    3.9903
8.395    16.602    12.62    3.9822
8.4    16.551    12.577    3.974
8.405    16.5    12.534    3.9658
8.41    16.449    12.491    3.9575
8.415    16.397    12.448    3.9492
8.42    16.346    12.405    3.9409
8.425    16.295    12.363    3.9326
8.43    16.244    12.32    3.9242
8.435    16.193    12.277    3.9159
8.44    16.142    12.234    3.9074
8.445    16.091    12.192    3.899
8.45    16.039    12.149    3.8905
8.455    15.988    12.106    3.882
8.46    15.937    12.064    3.8735
8.465    15.886    12.021    3.8649
8.47    15.835    11.978    3.8563
8.475    15.783    11.936    3.8477
8.48    15.732    11.893    3.839
8.485    15.681    11.851    3.8303
8.49    15.63    11.808    3.8216
8.495    15.579    11.766    3.8129
8.5    15.527    11.723    3.8041
8.505    15.476    11.681    3.7953
8.51    15.425    11.638    3.7865
8.515    15.374    11.596    3.7776
8.52    15.322    11.554    3.7687
8.525    15.271    11.511    3.7598
8.53    15.22    11.469    3.7509
8.535    15.169    11.427    3.7419
8.54    15.117    11.385    3.7329
8.545    15.066    11.342    3.7239
8.55    15.015    11.3    3.7148
8.555    14.964    11.258    3.7057
8.56    14.912    11.216    3.6966
8.565    14.861    11.174    3.6874
8.57    14.81    11.132    3.6783
8.575    14.759    11.09    3.6691
8.58    14.707    11.048    3.6598
8.585    14.656    11.005    3.6506
8.59    14.605    10.963    3.6413
8.595    14.553    10.922    3.632
8.6    14.502    10.88    3.6226
8.605    14.451    10.838    3.6133
8.61    14.4    10.796    3.6039
8.615    14.348    10.754    3.5944
8.62    14.297    10.712    3.585
8.625    14.246    10.67    3.5755
8.63    14.194    10.628    3.566
8.635    14.143    10.587    3.5564
8.64    14.092    10.545    3.5469
8.645    14.04    10.503    3.5373
8.65    13.989    10.461    3.5276
8.655    13.938    10.42    3.518
8.66    13.886    10.378    3.5083
8.665    13.835    10.336    3.4986
8.67    13.784    10.295    3.4889
8.675    13.732    10.253    3.4791
8.68    13.681    10.212    3.4693
8.685    13.63    10.17    3.4595
8.69    13.578    10.129    3.4496
8.695    13.527    10.087    3.4397
8.7    13.475    10.046    3.4298
8.705    13.424    10.004    3.4199
8.71    13.373    9.9628    3.41
8.715    13.321    9.9214    3.4
8.72    13.27    9.88    3.3899
8.725    13.219    9.8386    3.3799
8.73    13.167    9.7973    3.3698
8.735    13.116    9.756    3.3597
8.74    13.064    9.7147    3.3496
8.745    13.013    9.6735    3.3395
8.75    12.962    9.6323    3.3293
8.755    12.91    9.591    3.3191
8.76    12.859    9.5499    3.3088
8.765    12.807    9.5087    3.2986
8.77    12.756    9.4676    3.2883
8.775    12.704    9.4264    3.278
8.78    12.653    9.3854    3.2676
8.785    12.602    9.3443    3.2573
8.79    12.55    9.3032    3.2469
8.795    12.499    9.2622    3.2364
8.8    12.447    9.2212    3.226
8.805    12.396    9.1803    3.2155
8.81    12.344    9.1393    3.205
8.815    12.293    9.0984    3.1945
8.82    12.241    9.0575    3.1839
8.825    12.19    9.0166    3.1733
8.83    12.138    8.9757    3.1627
8.835    12.087    8.9349    3.1521
8.84    12.035    8.8941    3.1414
8.845    11.984    8.8533    3.1307
8.85    11.933    8.8125    3.12
8.855    11.881    8.7718    3.1092
8.86    11.83    8.7311    3.0985
8.865    11.778    8.6904    3.0877
8.87    11.727    8.6497    3.0768
8.875    11.675    8.609    3.066
8.88    11.624    8.5684    3.0551
8.885    11.572    8.5278    3.0442
8.89    11.52    8.4872    3.0333
8.895    11.469    8.4467    3.0223
8.9    11.417    8.4061    3.0113
8.905    11.366    8.3656    3.0003
8.91    11.314    8.3251    2.9893
8.915    11.263    8.2847    2.9782
