#DATOS PARA h=0.1
t		Y1		Y2		V1		V2
45.8		176.4		-66.7834		2074.34		-786.864
45.9		383.834		-145.47		2009.73		-762.545
46		584.807		-221.724		1869.12		-709.615
46.1		771.72		-292.686		1654.88		-628.962
46.2		937.208		-355.582		1372.14		-522.521
46.3		1074.42		-407.834		1028.75		-393.242
46.4		1177.3		-447.158		635.057		-245.017
46.5		1240.8		-471.66		203.615		-82.5711
46.6		1261.16		-479.917		-251.167		88.6752
46.7		1236.05		-471.05		-713.502		262.783
46.8		1164.7		-444.771		-1166.75		433.493
46.9		1048.02		-401.422		-1593.99		594.44
47		888.623		-341.978		-1978.65		739.384
47.1		690.758		-268.039		-2305.08		862.445
47.2		460.25		-181.795		-2559.22		958.324
47.3		204.328		-85.9626		-2729.11		1022.53
47.4		-68.5822		16.2903		-2805.45		1051.56
47.5		-349.127		121.446		-2782.02		1043.07
47.6		-627.329		225.753		-2656.03		996.013
47.7		-892.932		325.354		-2428.33		910.705
47.8		-1135.77		416.425		-2103.51		788.876
47.9		-1346.12		495.313		-1689.91		633.657
48		-1515.11		558.678		-1199.39		449.515
48.1		-1635.05		603.63		-647.09		242.136
48.2		-1699.75		627.843		-50.9411		18.2686
48.3		-1704.85		629.67		568.858		-214.491
48.4		-1647.96		608.221		1190.5		-447.943
48.5		-1528.91		563.427		1791.33		-673.562
48.6		-1349.78		496.071		2348.61		-882.795
48.7		-1114.92		407.791		2840.35		-1067.38
48.8		-830.883		301.053		3246.19		-1219.65
48.9		-506.264		179.088		3548.14		-1332.85
49		-151.45		45.8035		3731.36		-1401.38
49.1		221.686		-94.3345		3784.81		-1421.11
49.2		600.167		-236.445		3701.8		-1389.5
49.3		970.346		-375.395		3480.37		-1305.84
49.4		1318.38		-505.98		3123.57		-1171.27
49.5		1630.74		-623.107		2639.51		-988.832
49.6		1894.69		-721.99		2041.24		-763.447
49.7		2098.82		-798.334		1346.49		-501.779
49.8		2233.46		-848.512		577.134		-212.064
49.9		2291.18		-869.719		-241.395		96.1334
50		2267.04		-860.105		-1080.95		412.223
50.1		2158.94		-818.883		-1911.58		724.937
50.2		1967.79		-746.389		-2702.57		1022.72
50.3		1697.53		-644.117		-3423.52		1294.14
50.4		1355.18		-514.704		-4045.5		1528.3
50.5		950.627		-361.873		-4542.13		1715.29
50.6		496.414		-190.344		-4890.64		1846.54
50.7		7.35036		-5.69035		-5072.88		1915.22
50.8		-499.937		185.831		-5076.08		1916.52
50.9		-1007.54		377.483		-4893.58		1847.94
51		-1496.9		562.278		-4525.25		1709.44
51.1		-1949.43		733.222		-3977.78		1503.52
51.2		-2347.21		883.574		-3264.64		1235.26
51.3		-2673.67		1007.1		-2405.85		912.18
51.4		-2914.26		1098.32		-1427.51		544.103
51.5		-3057.01		1152.73		-361.028		142.845
51.6		-3093.11		1167.01		757.801		-278.128
51.7		-3017.33		1139.2		1889.96		-704.14
51.8		-2828.33		1068.79		2994.52		-1119.79
51.9		-2528.88		956.806		4030.06		-1509.5
52		-2125.88		805.856		4956.16		-1858.07
52.1		-1630.26		620.049		5734.95		-2151.25
52.2		-1056.76		404.924		6332.54		-2376.28
52.3		-423.51		167.296		6720.43		-2522.45
52.4		248.532		-84.9485		6876.76		-2581.53
52.5		936.208		-343.101		6787.33		-2548.18
52.6		1614.94		-597.919		6446.43		-2420.25
52.7		2259.58		-839.944		5857.31		-2198.96
52.8		2845.31		-1059.84		5032.44		-1889.01
52.9		3348.56		-1248.74		3993.38		-1498.49
53		3747.9		-1398.59		2770.28		-1038.76
53.1		4024.92		-1502.47		1401.16		-524.115
53.2		4165.04		-1554.88		-69.2526		28.6242
53.3		4158.11		-1552.02		-1590.87		600.616
53.4		3999.03		-1491.95		-3109.91		1171.63
53.5		3688.04		-1374.79		-4570.71		1720.73
53.6		3230.97		-1202.72		-5917.71		2227.01
53.7		2639.2		-980.017		-7097.47		2670.38
53.8		1929.45		-712.98		-8060.73		3032.3
53.9		1123.38		-409.75		-8764.34		3296.54
54		246.942		-80.0953		-9173.06		3449.86
54.1		-670.364		264.89		-9261.16		3482.56
54.2		-1596.48		613.146		-9013.69		3389.03
54.3		-2497.85		952.05		-8427.45		3168.07
54.4		-3340.59		1268.86		-7511.48		2823.08
54.5		-4091.74		1551.16		-6287.26		2362.14
54.6		-4720.47		1787.38		-4788.28		1797.85
54.7		-5199.3		1967.16		-3059.35		1147.06
54.8		-5505.23		2081.87		-1155.31		430.415
54.9		-5620.76		2124.91		860.59		-328.295
55		-5534.7		2092.08		2918.68		-1102.86
55.1		-5242.83		1981.79		4945.2		-1865.54
55.2		-4748.31		1795.24		6864.87		-2588
55.3		-4061.83		1536.44		8603.53		-3242.36
55.4		-3201.47		1212.2		10091		-3802.19
55.5		-2192.38		831.986		11263.5		-4243.55
55.6		-1066.03		407.631		12066.8		-4545.99
55.7		140.658		-46.9683		12458		-4693.36
