#DATOS PARA h=0.1
t		Y1		Y2		V1		V2
29.1		-0.430829		-1.15175		1.84042		2.20679
29.2		-0.250403		-0.927467		1.75981		2.27705
29.3		-0.0787809		-0.696376		1.66615		2.34217
29.4		0.0829227		-0.459071		1.56342		2.40055
29.5		0.234004		-0.216306		1.45576		2.45056
29.6		0.374178		0.0310016		1.34731		2.49062
29.7		0.503567		0.28178		1.24207		2.51922
29.8		0.622686		0.534811		1.14372		2.53502
29.9		0.732398		0.788752		1.05553		2.53685
30		0.833867		1.04215		0.980209		2.5238
30.1		0.928498		1.29349		0.919807		2.49526
30.2		1.01787		1.54119		0.875655		2.45088
30.3		1.10365		1.78367		0.848313		2.39067
30.4		1.18754		2.01933		0.837553		2.31496
30.5		1.27115		2.24667		0.842368		2.22439
30.6		1.35598		2.46423		0.861019		2.11993
30.7		1.4433		2.67068		0.891101		2.00281
30.8		1.53413		2.86483		0.929638		1.87451
30.9		1.62915		3.04562		0.973202		1.73672
31		1.72868		3.21221		1.01804		1.59125
31.1		1.83266		3.36392		1.06023		1.44003
31.2		1.94063		3.50027		1.09581		1.28501
31.3		2.05173		3.62097		1.12098		1.1281
31.4		2.16473		3.72594		1.13219		0.971138
31.5		2.27808		3.81524		1.12632		0.815823
31.6		2.38993		3.88914		1.10081		0.66366
31.7		2.49819		3.94801		1.05372		0.515924
31.8		2.60063		3.99235		0.983876		0.373631
31.9		2.69494		4.02276		0.89086		0.23751
32		2.7788		4.03987		0.775075		0.107995
32.1		2.84998		4.04436		0.637729		-0.0147759
32.2		2.90639		4.03691		0.480804		-0.130952
32.3		2.9462		4.01817		0.306989		-0.240946
32.4		2.96786		3.98871		0.119596		-0.345403
32.5		2.97021		3.94907		-0.0775541		-0.445163
32.6		2.95245		3.89966		-0.280261		-0.541211
32.7		2.91426		3.8408		-0.484088		-0.634627
32.8		2.85574		3.7727		-0.684518		-0.726528
32.9		2.77747		3.69547		-0.877107		-0.818014
33		2.68043		3.60908		-1.05764		-0.910109
33.1		2.56604		3.51342		-1.22228		-1.00371
33.2		2.43606		3.40831		-1.36769		-1.09954
33.3		2.29258		3.2935		-1.49116		-1.19811
33.4		2.13789		3.16868		-1.59069		-1.29967
33.5		1.97448		3.03356		-1.66505		-1.4042
33.6		1.8049		2.88785		-1.71383		-1.51141
33.7		1.63171		2.73129		-1.73744		-1.62072
33.8		1.45739		2.56372		-1.7371		-1.73126
33.9		1.28425		2.38506		-1.71476		-1.84192
34		1.11438		2.19537		-1.67304		-1.95137
34.1		0.949571		1.99482		-1.61515		-2.05808
34.2		0.791267		1.78379		-1.54471		-2.16039
34.3		0.640536		1.56279		-1.46566		-2.25656
34.4		0.498037		1.33252		-1.38209		-2.34483
34.5		0.364017		1.09387		-1.29809		-2.42347
34.6		0.238319		0.847871		-1.21761		-2.49082
34.7		0.120402		0.595741		-1.14425		-2.54541
34.8		0.00938345		0.338823		-1.08123		-2.58594
34.9		-0.0959155		0.0785813		-1.03116		-2.61136
35		-0.196905		-0.183427		-0.996015		-2.62091
35.1		-0.295158		-0.445586		-0.977036		-2.61413
35.2		-0.392333		-0.706247		-0.974684		-2.5909
35.3		-0.490096		-0.963768		-0.988627		-2.55143
35.4		-0.59004		-1.21654		-1.01775		-2.49625
35.5		-0.69361		-1.46304		-1.06021		-2.42621
35.6		-0.802028		-1.70181		-1.11349		-2.34244
35.7		-0.916238		-1.93155		-1.17449		-2.24631
35.8		-1.03684		-2.15111		-1.23968		-2.13942
35.9		-1.16408		-2.35948		-1.30519		-2.0235
36		-1.29778		-2.55585		-1.36701		-1.90037
36.1		-1.43738		-2.7396		-1.42107		-1.77189
36.2		-1.5819		-2.91028		-1.46347		-1.63992
36.3		-1.72998		-3.06763		-1.4906		-1.5062
36.4		-1.87993		-3.21156		-1.49926		-1.37235
36.5		-2.02976		-3.34214		-1.48682		-1.23983
36.6		-2.17724		-3.45956		-1.45131		-1.10982
36.7		-2.31998		-3.56413		-1.3915		-0.9833
36.8		-2.45552		-3.65624		-1.30696		-0.860927
36.9		-2.58138		-3.73633		-1.19807		-0.743086
37		-2.69516		-3.80486		-1.06605		-0.629866
37.1		-2.79463		-3.8623		-0.912871		-0.521076
37.2		-2.87779		-3.90907		-0.741252		-0.416268
37.3		-2.94295		-3.94554		-0.554526		-0.314765
37.4		-2.98878		-3.972		-0.356546		-0.215705
37.5		-3.01436		-3.98865		-0.15155		-0.118088
37.6		-3.0192		-3.99559		0.0559833		-0.0208255
37.7		-3.00328		-3.99279		0.261493		0.0771977
37.8		-2.96701		-3.98013		0.46049		0.177071
37.9		-2.91129		-3.95735		0.648714		0.279799
38		-2.83737		-3.92414		0.822281		0.38625
38.1		-2.74692		-3.88008		0.977813		0.497107
38.2		-2.64189		-3.82471		1.11256		0.612827
38.3		-2.52447		-3.75751		1.22447		0.733608
38.4		-2.39703		-3.67798		1.3123		0.859367
38.5		-2.26203		-3.58564		1.3756		0.989727
38.6		-2.12191		-3.48005		1.41475		1.12402
38.7		-1.97906		-3.36086		1.43092		1.26129
38.8		-1.83569		-3.22782		1.42606		1.40031
38.9		-1.69379		-3.08083		1.40276		1.53966
39		-1.55506		-2.91993		1.36419		1.67767
39.1		-1.42087		-2.74534		1.31393		1.81259
39.2		-1.29218		-2.55746		1.25591		1.94255
39.3		-1.16959		-2.35687		1.19417		2.06564
39.4		-1.05325		-2.14437		1.13276		2.18001
39.5		-0.942939		-1.92092		1.07555		2.28389
39.6		-0.838048		-1.68764		1.02612		2.37564
39.7		-0.737632		-1.44583		0.987595		2.45386
39.8		-0.640459		-1.1969		0.962522		2.51734
39.9		-0.545073		-0.942383		0.952791		2.56521
40		-0.449863		-0.683875		0.95955		2.59688
40.1		-0.353144		-0.423017		0.98316		2.6121
40.2		-0.253232		-0.161457		1.02318		2.61094
40.3		-0.148528		0.0991778		1.0784		2.59382
40.4		-0.0375928		0.357322		1.14683		2.56148
40.5		0.0807808		0.611495		1.22585		2.51491
40.6		0.207505		0.860332		1.31225		2.45539
40.7		0.343145		1.10261		1.40235		2.3844
40.8		0.487881		1.33725		1.49219		2.30354
40.9		0.641483		1.56336		1.57762		2.21455
41		0.803302		1.7802		1.65448		2.11917
41.1		0.972277		1.98724		1.71875		2.01916
41.2		1.14696		2.18408		1.76672		1.91616
41.3		1.32553		2.37051		1.79511		1.8117
41.4		1.5059		2.54645		1.80121		1.70712
41.5		1.68572		2.71196		1.78299		1.60354
41.6		1.86246		2.86718		1.73916		1.50181
41.7		2.03353		3.01234		1.66923		1.40253
41.8		2.19631		3.1477		1.57356		1.30598
41.9		2.34826		3.27354		1.45334		1.21218
42		2.48701		3.39013		1.31054		1.12085
42.1		2.61043		3.4977		1.14786		1.03149
42.2		2.71666		3.59642		0.968637		0.943345
42.3		2.80424		3.68635		0.776736		0.855496
42.4		2.87211		3.76749		0.57641		0.766891
42.5		2.91963		3.8397		0.372152		0.676401
42.6		2.94665		3.90274		0.168546		0.582873
42.7		2.95346		3.95625		-0.0298977		0.485192
42.8		2.94078		3.99975		-0.218897		0.382337
42.9		2.90978		4.03269		-0.394545		0.273434
43		2.86196		4.05442		-0.553446		0.157802
43.1		2.79916		4.06424		-0.692829		0.0349999
43.2		2.72346		4.06141		-0.810638		-0.0951468
43.3		2.63708		4.04521		-0.9056		-0.23252
43.4		2.54236		4.01492		-0.977262		-0.376699
43.5		2.44163		3.96988		-1.026		-0.526957
43.6		2.33714		3.90955		-1.05298		-0.682279
43.7		2.23099		3.83346		-1.06012		-0.841373
43.8		2.12506		3.74131		-1.05002		-1.00271
43.9		2.02092		3.63296		-1.02584		-1.16457
44		1.91981		3.50844		-0.991146		-1.32508
44.1		1.82259		3.36799		-0.949839		-1.48228
44.2		1.72974		3.21203		-0.905943		-1.63416
44.3		1.64131		3.0412		-0.863469		-1.77874
44.4		1.55695		2.85633		-0.826263		-1.91416
44.5		1.47596		2.65842		-0.797845		-2.03865
44.6		1.3973		2.44864		-0.781281		-2.1507
44.7		1.31964		2.22831		-0.779059		-2.24898
44.8		1.24144		1.99887		-0.792988		-2.3325
44.9		1.16101		1.76184		-0.82413		-2.40055
45		1.07659		1.51878		-0.872754		-2.45275
45.1		0.986458		1.27129		-0.938316		-2.48907
45.2		0.888954		1.02096		-1.01948		-2.5098
45.3		0.782605		0.76932		-1.11417		-2.51555
45.4		0.66618		0.517832		-1.21962		-2.50721
45.5		0.538757		0.267853		-1.3325		-2.48594
45.6		0.39977		0.0206135		-1.44901		-2.45308
45.7		0.249052		-0.222799		-1.56507		-2.41014
45.8		0.0868603		-0.461454		-1.67638		-2.35873
45.9		-0.0861186		-0.694585		-1.77869		-2.30049
46		-0.268773		-0.921592		-1.86785		-2.23703
46.1		-0.459591		-1.14203		-1.94006		-2.16991
46.2		-0.656696		-1.35561		-1.99192		-2.10051
46.3		-0.857899		-1.56217		-2.02065		-2.03008
46.4		-1.06076		-1.76165		-2.02411		-1.9596
46.5		-1.26268		-1.95411		-2.00095		-1.88984
46.6		-1.46093		-2.13964		-1.95064		-1.82125
46.7		-1.6528		-2.31837		-1.87347		-1.75403
46.8		-1.83564		-2.49044		-1.77059		-1.68807
46.9		-2.00696		-2.65598		-1.64394		-1.623
47		-2.16449		-2.81503		-1.49619		-1.5582
47.1		-2.30627		-2.9676		-1.33066		-1.49284
47.2		-2.43071		-3.11358		-1.15121		-1.4259
47.3		-2.53662		-3.25275		-0.962084		-1.35624
47.4		-2.62324		-3.38479		-0.767766		-1.28265
47.5		-2.69028		-3.50925		-0.572841		-1.20392
47.6		-2.73792		-3.62555		-0.381817		-1.11887
47.7		-2.76675		-3.733		-0.198976		-1.02642
47.8		-2.77781		-3.83081		-0.0282208		-0.92566
47.9		-2.77249		-3.91811		0.127056		-0.815874
48		-2.75248		-3.99397		0.264088		-0.696597
48.1		-2.71973		-4.05742		0.380831		-0.567644
48.2		-2.67635		-4.1075		0.476022		-0.429133
48.3		-2.62455		-4.14325		0.549221		-0.281493
48.4		-2.56651		-4.16381		0.600814		-0.125468
48.5		-2.50436		-4.16837		0.63199		0.037893
48.6		-2.44007		-4.15626		0.644686		0.207264
48.7		-2.37537		-4.12695		0.641505		0.38107
48.8		-2.3117		-4.08009		0.625611		0.557531
48.9		-2.25016		-4.01549		0.6006		0.73471
49		-2.19149		-3.9332		0.570358		0.910572
49.1		-2.13599		-3.83343		0.538907		1.08304
49.2		-2.08361		-3.71664		0.510248		1.25007
49.3		-2.03385		-3.58347		0.488202		1.40967
49.4		-1.98588		-3.43475		0.476262		1.56002
49.5		-1.93852		-3.27151		0.477449		1.69949
49.6		-1.89032		-3.09489		0.494199		1.82668
49.7		-1.83962		-2.9062		0.528259		1.94048
49.8		-1.78463		-2.70682		0.580617		2.04007
49.9		-1.72349		-2.4982		0.651454		2.12499
50		-1.65435		-2.28183		0.740137		2.1951
50.1		-1.57549		-2.05918		0.845227		2.25057
50.2		-1.48535		-1.83171		0.96453		2.29191
50.3		-1.38264		-1.60078		1.09517		2.31991
50.4		-1.26639		-1.3677		1.2337		2.3356
50.5		-1.13599		-1.13363		1.3762		2.34022
50.6		-0.991253		-0.899623		1.51845		2.33517
50.7		-0.832412		-0.666565		1.65604		2.32192
50.8		-0.660154		-0.435202		1.7846		2.30201
50.9		-0.4756		-0.206126		1.89985		2.27693
51		-0.280284		0.0202195		1.99789		2.24809
51.1		-0.0761138		0.243526		2.07521		2.21679
51.2		0.13468		0.463607		2.12893		2.18412
51.3		0.34961		0.680375		2.15684		2.15095
51.4		0.566003		0.893816		2.15749		2.1179
51.5		0.781083		1.10397		2.13028		2.08532
51.6		0.992054		1.31088		2.07544		2.05326
51.7		1.19619		1.51462		1.99406		2.02148
51.8		1.3909		1.71517		1.88804		1.9895
51.9		1.57385		1.9125		1.76001		1.95657
52		1.74298		2.10647		1.61326		1.92172
52.1		1.89659		2.29682		1.45162		1.88383
52.2		2.0334		2.4832		1.27929		1.84165
52.3		2.15256		2.66512		1.10076		1.79386
52.4		2.25367		2.84194		0.92057		1.73913
52.5		2.33678		3.01291		0.743219		1.67621
52.6		2.40242		3.17715		0.572962		1.60394
52.7		2.45148		3.33367		0.413679		1.52131
52.8		2.48524		3.48139		0.268735		1.42755
52.9		2.5053		3.61917		0.140865		1.32214
53		2.51347		3.74581		0.0320855		1.20485
53.1		2.51176		3.86014		-0.0563786		1.07575
53.2		2.50222		3.96097		-0.124124		0.935252
