#DATOS PARA h=0.1
t		Y1		Y2		V1		V2
23.7		0.822164		1.12555		-2.06686		-2.10061
23.8		0.613419		0.913975		-2.10379		-2.1308
23.9		0.402267		0.699397		-2.11496		-2.1607
24		0.191281		0.48185		-2.10055		-2.19012
24.1		-0.0170208		0.261402		-2.06152		-2.21863
24.2		-0.220255		0.0381761		-1.99952		-2.24555
24.3		-0.416235		-0.187626		-1.91688		-2.26999
24.4		-0.603038		-0.415704		-1.8165		-2.29089
24.5		-0.779055		-0.645645		-1.70175		-2.30703
24.6		-0.943031		-0.876908		-1.57633		-2.31712
24.7		-1.0941		-1.10882		-1.44418		-2.3198
24.8		-1.23178		-1.34058		-1.30929		-2.31373
24.9		-1.35599		-1.57123		-1.1756		-2.29763
25		-1.46706		-1.79973		-1.04682		-2.27032
25.1		-1.56564		-2.02489		-0.926327		-2.23079
25.2		-1.6527		-2.24545		-0.817036		-2.17824
25.3		-1.7295		-2.46008		-0.721298		-2.11209
25.4		-1.79747		-2.66741		-0.640824		-2.03207
25.5		-1.85821		-2.86603		-0.576625		-1.93815
25.6		-1.91335		-3.05458		-0.528984		-1.83065
25.7		-1.96454		-3.23173		-0.497449		-1.71016
25.8		-2.01334		-3.39621		-0.480863		-1.57756
25.9		-2.06115		-3.54687		-0.477409		-1.43401
26		-2.10918		-3.68269		-0.484687		-1.28092
26.1		-2.15835		-3.80279		-0.499809		-1.11987
26.2		-2.2093		-3.90646		-0.519513		-0.952636
26.3		-2.26229		-3.99317		-0.540294		-0.781073
26.4		-2.31727		-4.0626		-0.558538		-0.607103
26.5		-2.3738		-4.11458		-0.570665		-0.432643
26.6		-2.43109		-4.14917		-0.573268		-0.259553
26.7		-2.48803		-4.16659		-0.563253		-0.0895877
26.8		-2.54323		-4.16725		-0.537953		0.0756579
26.9		-2.59504		-4.15167		-0.495243		0.234787
27		-2.64164		-4.12053		-0.433626		0.386638
27.1		-2.6811		-4.07461		-0.352295		0.53031
27.2		-2.71144		-4.01476		-0.251178		0.66518
27.3		-2.7307		-3.94188		-0.130947		0.79091
27.4		-2.73704		-3.85689		0.00699585		0.907444
27.5		-2.72878		-3.76069		0.160556		1.01499
27.6		-2.70449		-3.65417		0.327017		1.11402
27.7		-2.66305		-3.53815		0.503126		1.20519
27.8		-2.60367		-3.41337		0.685207		1.28935
27.9		-2.52594		-3.28048		0.869282		1.36747
28		-2.42988		-3.14004		1.05121		1.44061
28.1		-2.31591		-2.99249		1.22682		1.50986
28.2		-2.18487		-2.83817		1.39207		1.57628
28.3		-2.03797		-2.6773		1.54317		1.64084
28.4		-1.87682		-2.51003		1.67674		1.7044
28.5		-1.70331		-2.33643		1.78988		1.76768
